#---------------
# UCP PROD
#---------------
# else  - red
# green - wget green, else ping - yellow
#----------------------------------------------------------------------
#     Groupname;InstanceName;URL;Port;OverlayPort;Priority;Label
#----------------------------------------------------------------------

UCPProd;sv3-orca-0309e7b2;sv3-orca-0309e7b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e7b3;sv3-orca-0309e7b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e7b4;sv3-orca-0309e7b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e8b1;sv3-orca-0309e8b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e8b2;sv3-orca-0309e8b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e8b3;sv3-orca-0309e8b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e8b4;sv3-orca-0309e8b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e9b1;sv3-orca-0309e9b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e9b2;sv3-orca-0309e9b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e9b3;sv3-orca-0309e9b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e9b4;sv3-orca-0309e9b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0310e0b1;sv3-orca-0310e0b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e0b2;sv3-orca-0310e0b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e0b3;sv3-orca-0310e0b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e0b4;sv3-orca-0310e0b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e1b1;sv3-orca-0310e1b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e1b2;sv3-orca-0310e1b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e1b3;sv3-orca-0310e1b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e1b4;sv3-orca-0310e1b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e2b1;sv3-orca-0310e2b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e2b2;sv3-orca-0310e2b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e2b3;sv3-orca-0310e2b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e2b4;sv3-orca-0310e2b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e3b1;sv3-orca-0310e3b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e3b2;sv3-orca-0310e3b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e3b3;sv3-orca-0310e3b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e3b4;sv3-orca-0310e3b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e4b1;sv3-orca-0310e4b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e4b2;sv3-orca-0310e4b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e4b3;sv3-orca-0310e4b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e4b4;sv3-orca-0310e4b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e5b1;sv3-orca-0310e5b1.sv.splunk.com;12376;7946;1;0310e
#UCPProd;sv3-orca-0310e5b2;sv3-orca-0310e5b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e5b3;sv3-orca-0310e5b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e5b4;sv3-orca-0310e5b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e6b1;sv3-orca-0310e6b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e6b2;sv3-orca-0310e6b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e6b3;sv3-orca-0310e6b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e6b4;sv3-orca-0310e6b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e7b1;sv3-orca-0310e7b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e7b2;sv3-orca-0310e7b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e7b3;sv3-orca-0310e7b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e7b4;sv3-orca-0310e7b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e8b1;sv3-orca-0310e8b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e8b2;sv3-orca-0310e8b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e8b3;sv3-orca-0310e8b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e8b4;sv3-orca-0310e8b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e9b1;sv3-orca-0310e9b1.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e9b2;sv3-orca-0310e9b2.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e9b3;sv3-orca-0310e9b3.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0310e9b4;sv3-orca-0310e9b4.sv.splunk.com;12376;7946;1;0310e
UCPProd;sv3-orca-0311e0b1;sv3-orca-0311e0b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e0b2;sv3-orca-0311e0b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e0b3;sv3-orca-0311e0b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e0b4;sv3-orca-0311e0b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e1b1;sv3-orca-0311e1b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e1b2;sv3-orca-0311e1b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e1b3;sv3-orca-0311e1b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e1b4;sv3-orca-0311e1b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e2b1;sv3-orca-0311e2b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e2b2;sv3-orca-0311e2b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e2b3;sv3-orca-0311e2b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e2b4;sv3-orca-0311e2b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e3b1;sv3-orca-0311e3b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e3b2;sv3-orca-0311e3b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e3b3;sv3-orca-0311e3b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e3b4;sv3-orca-0311e3b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e4b1;sv3-orca-0311e4b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e4b2;sv3-orca-0311e4b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e4b3;sv3-orca-0311e4b3.sv.splunk.com;12376;7946;1;0311e
#UCPProd;sv3-orca-0311e4b4;sv3-orca-0311e4b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e5b1;sv3-orca-0311e5b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e5b2;sv3-orca-0311e5b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e5b3;sv3-orca-0311e5b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e5b4;sv3-orca-0311e5b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e6b1;sv3-orca-0311e6b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e6b2;sv3-orca-0311e6b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e6b3;sv3-orca-0311e6b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e6b4;sv3-orca-0311e6b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e7b1;sv3-orca-0311e7b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e7b2;sv3-orca-0311e7b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e7b3;sv3-orca-0311e7b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e7b4;sv3-orca-0311e7b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e8b1;sv3-orca-0311e8b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e8b2;sv3-orca-0311e8b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e8b3;sv3-orca-0311e8b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e8b4;sv3-orca-0311e8b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e9b1;sv3-orca-0311e9b1.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e9b2;sv3-orca-0311e9b2.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e9b3;sv3-orca-0311e9b3.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0311e9b4;sv3-orca-0311e9b4.sv.splunk.com;12376;7946;1;0311e
UCPProd;sv3-orca-0312e0b2;sv3-orca-0312e0b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e0b3;sv3-orca-0312e0b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e0b4;sv3-orca-0312e0b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e1b1;sv3-orca-0312e1b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e1b2;sv3-orca-0312e1b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e1b3;sv3-orca-0312e1b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e1b4;sv3-orca-0312e1b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e2b1;sv3-orca-0312e2b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e2b2;sv3-orca-0312e2b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e2b3;sv3-orca-0312e2b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e2b4;sv3-orca-0312e2b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e3b1;sv3-orca-0312e3b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e3b2;sv3-orca-0312e3b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e3b3;sv3-orca-0312e3b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e3b4;sv3-orca-0312e3b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e4b1;sv3-orca-0312e4b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e4b2;sv3-orca-0312e4b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e4b3;sv3-orca-0312e4b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e4b4;sv3-orca-0312e4b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e5b1;sv3-orca-0312e5b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e5b2;sv3-orca-0312e5b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e5b3;sv3-orca-0312e5b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e5b4;sv3-orca-0312e5b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e6b1;sv3-orca-0312e6b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e6b2;sv3-orca-0312e6b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e6b3;sv3-orca-0312e6b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e6b4;sv3-orca-0312e6b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e7b1;sv3-orca-0312e7b1.sv.splunk.com;12376;7946;1;0312e
#UCPProd;sv3-orca-0312e7b2;sv3-orca-0312e7b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e7b3;sv3-orca-0312e7b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e7b4;sv3-orca-0312e7b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e8b1;sv3-orca-0312e8b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e8b2;sv3-orca-0312e8b2.sv.splunk.com;12376;7946;1;0312e
#UCPProd;sv3-orca-0312e8b3;sv3-orca-0312e8b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e8b4;sv3-orca-0312e8b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e9b1;sv3-orca-0312e9b1.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e9b2;sv3-orca-0312e9b2.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e9b3;sv3-orca-0312e9b3.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0312e9b4;sv3-orca-0312e9b4.sv.splunk.com;12376;7946;1;0312e
UCPProd;sv3-orca-0313e0b1;sv3-orca-0313e0b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e0b2;sv3-orca-0313e0b2.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e0b3;sv3-orca-0313e0b3.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e0b4;sv3-orca-0313e0b4.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e1b1;sv3-orca-0313e1b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e1b2;sv3-orca-0313e1b2.sv.splunk.com;12376;7946;1;0313e
