# green - wget green, else ping - yellow
# else  - red
#Groupname;InstanceName;URL;Port
UCPProd0309e3;sv3-orca-0309e3b4;sv3-orca-0309e3b4.sv.splunk.com:12376;12376
UCPProd0312e8;sv3-orca-0312e8b2;sv3-orca-0312e8b2.sv.splunk.com:12376;12376
UCPProd0313e3;sv3-orca-0313e3b1;sv3-orca-0313e3b1.sv.splunk.com:12376;12376
UCPProd0308e7;sv3-orca-0308e7b4;sv3-orca-0308e7b4.sv.splunk.com:12376;12376
UCPProd0308e3;sv3-orca-0308e3b4;sv3-orca-0308e3b4.sv.splunk.com:12376;12376
UCPProd0310e5;sv3-orca-0310e5b3;sv3-orca-0310e5b3.sv.splunk.com:12376;12376
UCPProd0312e1;sv3-orca-0312e1b4;sv3-orca-0312e1b4.sv.splunk.com:12376;12376
UCPProd0307e4;sv3-orca-0307e4b2;sv3-orca-0307e4b2.sv.splunk.com:12376;12376
UCPProd0313e0;sv3-orca-0313e0b2;sv3-orca-0313e0b2.sv.splunk.com:12376;12376
UCPProd0409e3;sv3-orca-0409e3b1;sv3-orca-0409e3b1.sv.splunk.com:12376;12376
UCPProd0313e4;sv3-orca-0313e4b3;sv3-orca-0313e4b3.sv.splunk.com:12376;12376
UCPProd0314e8;sv3-orca-0314e8b3;sv3-orca-0314e8b3.sv.splunk.com:12376;12376
UCPProd0314e4;sv3-orca-0314e4b1;sv3-orca-0314e4b1.sv.splunk.com:12376;12376
UCPProd0308e4;sv3-orca-0308e4b4;sv3-orca-0308e4b4.sv.splunk.com:12376;12376
UCPProd0313e9;sv3-orca-0313e9b1;sv3-orca-0313e9b1.sv.splunk.com:12376;12376
UCPProd0408e2;sv3-orca-0408e2b4;sv3-orca-0408e2b4.sv.splunk.com:12376;12376
UCPProd0307e3;sv3-orca-0307e3b1;sv3-orca-0307e3b1.sv.splunk.com:12376;12376
UCPProd0309e4;sv3-orca-0309e4b2;sv3-orca-0309e4b2.sv.splunk.com:12376;12376
UCPProd0309e2;sv3-orca-0309e2b2;sv3-orca-0309e2b2.sv.splunk.com:12376;12376
UCPProd0408e2;sv3-orca-0408e2b3;sv3-orca-0408e2b3.sv.splunk.com:12376;12376
UCPProd0309e0;sv3-orca-0309e0b1;sv3-orca-0309e0b1.sv.splunk.com:12376;12376
UCPProd0409e6;sv3-orca-0409e6b4;sv3-orca-0409e6b4.sv.splunk.com:12376;12376
UCPProd0311e7;sv3-orca-0311e7b3;sv3-orca-0311e7b3.sv.splunk.com:12376;12376
UCPProd0308e8;sv3-orca-0308e8b2;sv3-orca-0308e8b2.sv.splunk.com:12376;12376
UCPProd0408e4;sv3-orca-0408e4b1;sv3-orca-0408e4b1.sv.splunk.com:12376;12376
UCPProd0314e9;sv3-orca-0314e9b1;sv3-orca-0314e9b1.sv.splunk.com:12376;12376
UCPProd0315e8;sv3-orca-0315e8b3;sv3-orca-0315e8b3.sv.splunk.com:12376;12376
UCPProd0313e0;sv3-orca-0313e0b3;sv3-orca-0313e0b3.sv.splunk.com:12376;12376
UCPProd0309e8;sv3-orca-0309e8b2;sv3-orca-0309e8b2.sv.splunk.com:12376;12376
UCPProd0312e7;sv3-orca-0312e7b4;sv3-orca-0312e7b4.sv.splunk.com:12376;12376
UCPProd0308e7;sv3-orca-0308e7b3;sv3-orca-0308e7b3.sv.splunk.com:12376;12376
UCPProd0310e5;sv3-orca-0310e5b2;sv3-orca-0310e5b2.sv.splunk.com:12376;12376
UCPProd0314e8;sv3-orca-0314e8b2;sv3-orca-0314e8b2.sv.splunk.com:12376;12376
UCPProd0408e0;sv3-orca-0408e0b3;sv3-orca-0408e0b3.sv.splunk.com:12376;12376
UCPProd0314e1;sv3-orca-0314e1b1;sv3-orca-0314e1b1.sv.splunk.com:12376;12376
UCPProd0314e2;sv3-orca-0314e2b1;sv3-orca-0314e2b1.sv.splunk.com:12376;12376
UCPProd0313e7;sv3-orca-0313e7b4;sv3-orca-0313e7b4.sv.splunk.com:12376;12376
UCPProd0409e1;sv3-orca-0409e1b3;sv3-orca-0409e1b3.sv.splunk.com:12376;12376
UCPProd0309e3;sv3-orca-0309e3b3;sv3-orca-0309e3b3.sv.splunk.com:12376;12376
UCPProd0315e4;sv3-orca-0315e4b4;sv3-orca-0315e4b4.sv.splunk.com:12376;12376
